2018-05-25 08:56:55 E_ERROR CProtocolCommImp::SendData:145 socket:1936:sended err: -1
2018-05-25 09:09:45 E_ERROR CProtocolCommClientImp<class CProcessInterfaceYC>::CloseProcess:230 ProtocolProcess is 0
2018-05-25 09:09:45 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-25 09:09:45 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-25 09:09:45 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.2
2018-05-25 09:09:45 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.3
2018-05-25 09:09:45 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.4
2018-05-25 09:09:45 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.5
2018-05-25 09:09:45 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.6
2018-05-25 09:09:45 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.7
2018-05-25 09:09:45 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.8
2018-05-25 09:10:00 E_ERROR CProtocolCommClientImp<class CProcessInterfaceYC>::CloseProcess:230 ProtocolProcess is 0
2018-05-25 09:10:00 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-25 09:10:00 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-25 09:10:00 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.2
2018-05-25 09:10:00 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.3
2018-05-25 09:10:00 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.4
2018-05-25 09:10:00 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.5
2018-05-25 09:10:00 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.6
2018-05-25 09:10:00 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.7
2018-05-25 09:10:00 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.8
2018-05-25 09:10:07 E_ERROR CProtocolCommClientImp<class CProcessInterfaceYC>::CloseProcess:230 ProtocolProcess is 0
2018-05-25 09:10:07 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-25 09:10:07 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-25 09:10:07 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.2
2018-05-25 09:10:07 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.3
2018-05-25 09:10:07 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.4
2018-05-25 09:10:07 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.5
2018-05-25 09:10:07 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.6
2018-05-25 09:10:07 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.7
2018-05-25 09:10:07 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.8
2018-05-25 09:10:15 E_ERROR CProtocolCommClientImp<class CProcessInterfaceYC>::CloseProcess:230 ProtocolProcess is 0
2018-05-25 09:10:15 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-25 09:10:15 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
